fold,model,state,train_event_rate,train_state_count
1,kmeans,0,0.08972267536704731,613
1,kmeans,1,0.05531914893617021,470
1,kmeans,2,0.16,350
1,kmeans,3,0.13320825515947468,533
1,hmm,0,0.122,500
1,hmm,1,0.041970802919708027,548
1,hmm,2,0.14246575342465753,365
1,hmm,3,0.1301989150090416,553
2,kmeans,0,0.1276595744680851,564
2,kmeans,1,0.08108108108108109,703
2,kmeans,2,0.11212814645308924,437
2,kmeans,3,0.05825242718446602,515
2,hmm,0,0.13333333333333333,660
2,hmm,1,0.07751937984496124,387
2,hmm,2,0.12093862815884476,554
2,hmm,3,0.0372168284789644,618
3,kmeans,0,0.05172413793103448,580
3,kmeans,1,0.06053550640279395,859
3,kmeans,2,0.12609457092819615,571
3,kmeans,3,0.11739130434782609,460
3,hmm,0,0.02662037037037037,864
3,hmm,1,0.13253012048192772,664
3,hmm,2,0.0635593220338983,472
3,hmm,3,0.1425531914893617,470
4,kmeans,0,0.06539074960127592,627
4,kmeans,1,0.0627062706270627,909
4,kmeans,2,0.11374407582938388,633
4,kmeans,3,0.10766423357664233,548
4,hmm,0,0.04531410916580844,971
4,hmm,1,0.05823293172690763,498
4,hmm,2,0.11413043478260869,736
4,hmm,3,0.140625,512
5,kmeans,0,0.053588516746411484,1045
5,kmeans,1,0.11180124223602485,644
5,kmeans,2,0.057342657342657345,715
5,kmeans,3,0.10695187165775401,561
5,hmm,0,0.055350553505535055,542
5,hmm,1,0.1070063694267516,785
5,hmm,2,0.038766519823788544,1135
5,hmm,3,0.1411530815109344,503
6,kmeans,0,0.11900826446280992,605
6,kmeans,1,0.05240793201133145,706
6,kmeans,2,0.04309656823623304,1253
6,kmeans,3,0.10185185185185185,648
6,hmm,0,0.11818181818181818,770
6,hmm,1,0.03225806451612903,806
6,hmm,2,0.0425531914893617,940
6,hmm,3,0.10344827586206896,696
7,kmeans,0,0.038924274593064405,1413
7,kmeans,1,0.11688311688311688,616
7,kmeans,2,0.043137254901960784,765
7,kmeans,3,0.10407239819004525,663
7,hmm,0,0.025906735751295335,772
7,hmm,1,0.024291497975708502,988
7,hmm,2,0.10348583877995643,918
7,hmm,3,0.11553273427471117,779
8,kmeans,0,0.036655948553054665,1555
8,kmeans,1,0.03673938002296211,871
8,kmeans,2,0.10134128166915052,671
8,kmeans,3,0.11842105263157894,608
8,hmm,0,0.027571580063626724,943
8,hmm,1,0.017664376840039256,1019
8,hmm,2,0.10021097046413502,948
8,hmm,3,0.11320754716981132,795
9,kmeans,0,0.11745513866231648,613
9,kmeans,1,0.03208868144690782,1714
9,kmeans,2,0.03415154749199573,937
9,kmeans,3,0.10189228529839883,687
9,hmm,0,0.11505507955936352,817
9,hmm,1,0.024597116200169637,1179
9,hmm,2,0.0893909626719057,1018
9,hmm,3,0.016008537886873,937
10,kmeans,0,0.11483253588516747,627
10,kmeans,1,0.030632411067193676,1012
10,kmeans,2,0.029204975662520283,1849
10,kmeans,3,0.10227272727272728,704
10,hmm,0,0.1136094674556213,845
10,hmm,1,0.016472868217054265,1032
10,hmm,2,0.020801232665639446,1298
10,hmm,3,0.08751229105211406,1017
11,kmeans,0,0.027466937945066123,1966
11,kmeans,1,0.027678571428571427,1120
11,kmeans,2,0.1130298273155416,637
11,kmeans,3,0.10098176718092566,713
11,hmm,0,0.02148148148148148,1350
11,hmm,1,0.012809564474807857,1171
11,hmm,2,0.1085972850678733,884
11,hmm,3,0.0863239573229874,1031
12,kmeans,0,0.11428571428571428,630
12,kmeans,1,0.0313523631258774,2137
12,kmeans,2,0.10126582278481013,711
12,kmeans,3,0.026578073089700997,1204
12,hmm,0,0.10904872389791183,862
12,hmm,1,0.026282853566958697,1598
12,hmm,2,0.08425925925925926,1080
12,hmm,3,0.014010507880910683,1142
13,kmeans,0,0.034191829484902306,2252
13,kmeans,1,0.1119751166407465,643
13,kmeans,2,0.08944099378881988,805
13,kmeans,3,0.03008130081300813,1230
13,hmm,0,0.033707865168539325,1691
13,hmm,1,0.09832635983263599,956
13,hmm,2,0.0783132530120482,1162
13,hmm,3,0.014272970561998216,1121
14,kmeans,0,0.0330188679245283,2332
14,kmeans,1,0.027565084226646247,1306
14,kmeans,2,0.08352402745995423,874
14,kmeans,3,0.10810810810810811,666
14,hmm,0,0.03203040173724213,1842
14,hmm,1,0.011532125205930808,1214
14,hmm,2,0.0768566493955095,1158
14,hmm,3,0.0995850622406639,964
15,kmeans,0,0.026792179580014484,1381
15,kmeans,1,0.032490974729241874,2493
15,kmeans,2,0.10285714285714286,700
15,kmeans,3,0.08490566037735849,848
15,hmm,0,0.011772853185595568,1444
15,hmm,1,0.03995433789954338,1752
15,hmm,2,0.08781362007168458,1116
15,hmm,3,0.06936936936936937,1110
16,kmeans,0,0.10300429184549356,699
16,kmeans,1,0.030395136778115502,2632
16,kmeans,2,0.08584686774941995,862
16,kmeans,3,0.024423337856173677,1474
16,hmm,0,0.06980961015412511,1103
16,hmm,1,0.08718861209964412,1124
16,hmm,2,0.036288232244686365,1929
16,hmm,3,0.011250827266710787,1511
17,kmeans,0,0.028933092224231464,2765
17,kmeans,1,0.1005586592178771,716
17,kmeans,2,0.08721624850657109,837
17,kmeans,3,0.02322661644695543,1593
17,hmm,0,0.03413143148242486,1963
17,hmm,1,0.08081705150976909,1126
17,hmm,2,0.06606110652353427,1211
17,hmm,3,0.0148975791433892,1611
