,fold,model,state,train_event_rate,train_state_count
0,1,kmeans,0,0.0897226753670473,613
1,1,kmeans,1,0.0553191489361702,470
2,1,kmeans,2,0.16,350
3,1,kmeans,3,0.1332082551594746,533
4,1,hmm,0,0.122,500
5,1,hmm,1,0.041970802919708,548
6,1,hmm,2,0.1424657534246575,365
7,1,hmm,3,0.1301989150090416,553
8,2,kmeans,0,0.1276595744680851,564
9,2,kmeans,1,0.081081081081081,703
10,2,kmeans,2,0.1121281464530892,437
11,2,kmeans,3,0.058252427184466,515
12,2,hmm,0,0.1333333333333333,660
13,2,hmm,1,0.0775193798449612,387
14,2,hmm,2,0.1209386281588447,554
15,2,hmm,3,0.0372168284789644,618
16,3,kmeans,0,0.0517241379310344,580
17,3,kmeans,1,0.0605355064027939,859
18,3,kmeans,2,0.1260945709281961,571
19,3,kmeans,3,0.117391304347826,460
20,3,hmm,0,0.0266203703703703,864
21,3,hmm,1,0.1325301204819277,664
22,3,hmm,2,0.0635593220338983,472
23,3,hmm,3,0.1425531914893617,470
24,4,kmeans,0,0.0653907496012759,627
25,4,kmeans,1,0.0627062706270627,909
26,4,kmeans,2,0.1137440758293838,633
27,4,kmeans,3,0.1076642335766423,548
28,4,hmm,0,0.0453141091658084,971
29,4,hmm,1,0.0582329317269076,498
30,4,hmm,2,0.1141304347826086,736
31,4,hmm,3,0.140625,512
32,5,kmeans,0,0.0535885167464114,1045
33,5,kmeans,1,0.1118012422360248,644
34,5,kmeans,2,0.0573426573426573,715
35,5,kmeans,3,0.106951871657754,561
36,5,hmm,0,0.055350553505535,542
37,5,hmm,1,0.1070063694267516,785
38,5,hmm,2,0.0387665198237885,1135
39,5,hmm,3,0.1411530815109344,503
40,6,kmeans,0,0.1190082644628099,605
41,6,kmeans,1,0.0524079320113314,706
42,6,kmeans,2,0.043096568236233,1253
43,6,kmeans,3,0.1018518518518518,648
44,6,hmm,0,0.1181818181818181,770
45,6,hmm,1,0.032258064516129,806
46,6,hmm,2,0.0425531914893617,940
47,6,hmm,3,0.1034482758620689,696
48,7,kmeans,0,0.0389242745930644,1413
49,7,kmeans,1,0.1168831168831168,616
50,7,kmeans,2,0.0431372549019607,765
51,7,kmeans,3,0.1040723981900452,663
52,7,hmm,0,0.0259067357512953,772
53,7,hmm,1,0.0242914979757085,988
54,7,hmm,2,0.1034858387799564,918
55,7,hmm,3,0.1155327342747111,779
56,8,kmeans,0,0.0366559485530546,1555
57,8,kmeans,1,0.0367393800229621,871
58,8,kmeans,2,0.1013412816691505,671
59,8,kmeans,3,0.1184210526315789,608
60,8,hmm,0,0.0275715800636267,943
61,8,hmm,1,0.0176643768400392,1019
62,8,hmm,2,0.100210970464135,948
63,8,hmm,3,0.1132075471698113,795
64,9,kmeans,0,0.1174551386623164,613
65,9,kmeans,1,0.0320886814469078,1714
66,9,kmeans,2,0.0341515474919957,937
67,9,kmeans,3,0.1018922852983988,687
68,9,hmm,0,0.1150550795593635,817
69,9,hmm,1,0.0245971162001696,1179
70,9,hmm,2,0.0893909626719057,1018
71,9,hmm,3,0.016008537886873,937
72,10,kmeans,0,0.1148325358851674,627
73,10,kmeans,1,0.0306324110671936,1012
74,10,kmeans,2,0.0292049756625202,1849
75,10,kmeans,3,0.1022727272727272,704
76,10,hmm,0,0.1136094674556213,845
77,10,hmm,1,0.0164728682170542,1032
78,10,hmm,2,0.0208012326656394,1298
79,10,hmm,3,0.087512291052114,1017
80,11,kmeans,0,0.0274669379450661,1966
81,11,kmeans,1,0.0276785714285714,1120
82,11,kmeans,2,0.1130298273155416,637
83,11,kmeans,3,0.1009817671809256,713
84,11,hmm,0,0.0214814814814814,1350
85,11,hmm,1,0.0128095644748078,1171
86,11,hmm,2,0.1085972850678733,884
87,11,hmm,3,0.0863239573229874,1031
88,12,kmeans,0,0.1142857142857142,630
89,12,kmeans,1,0.0313523631258774,2137
90,12,kmeans,2,0.1012658227848101,711
91,12,kmeans,3,0.0265780730897009,1204
92,12,hmm,0,0.1090487238979118,862
93,12,hmm,1,0.0262828535669586,1598
94,12,hmm,2,0.0842592592592592,1080
95,12,hmm,3,0.0140105078809106,1142
96,13,kmeans,0,0.0341918294849023,2252
97,13,kmeans,1,0.1119751166407465,643
98,13,kmeans,2,0.0894409937888198,805
99,13,kmeans,3,0.0300813008130081,1230
100,13,hmm,0,0.0337078651685393,1691
101,13,hmm,1,0.0983263598326359,956
102,13,hmm,2,0.0783132530120482,1162
103,13,hmm,3,0.0142729705619982,1121
104,14,kmeans,0,0.0330188679245283,2332
105,14,kmeans,1,0.0275650842266462,1306
106,14,kmeans,2,0.0835240274599542,874
107,14,kmeans,3,0.1081081081081081,666
108,14,hmm,0,0.0320304017372421,1842
109,14,hmm,1,0.0115321252059308,1214
110,14,hmm,2,0.0768566493955095,1158
111,14,hmm,3,0.0995850622406639,964
112,15,kmeans,0,0.0267921795800144,1381
113,15,kmeans,1,0.0324909747292418,2493
114,15,kmeans,2,0.1028571428571428,700
115,15,kmeans,3,0.0849056603773584,848
116,15,hmm,0,0.0117728531855955,1444
117,15,hmm,1,0.0399543378995433,1752
118,15,hmm,2,0.0878136200716845,1116
119,15,hmm,3,0.0693693693693693,1110
120,16,kmeans,0,0.1030042918454935,699
121,16,kmeans,1,0.0303951367781155,2632
122,16,kmeans,2,0.0858468677494199,862
123,16,kmeans,3,0.0244233378561736,1474
124,16,hmm,0,0.0698096101541251,1103
125,16,hmm,1,0.0871886120996441,1124
126,16,hmm,2,0.0362882322446863,1929
127,16,hmm,3,0.0112508272667107,1511
128,17,kmeans,0,0.0289330922242314,2765
129,17,kmeans,1,0.1005586592178771,716
130,17,kmeans,2,0.087216248506571,837
131,17,kmeans,3,0.0232266164469554,1593
132,17,hmm,0,0.0341314314824248,1963
133,17,hmm,1,0.080817051509769,1126
134,17,hmm,2,0.0660611065235342,1211
135,17,hmm,3,0.0148975791433892,1611
